disease_id,disease_name,description,precautions,consult_doctor_if,severity_level
1,Acne,"[VERIFY] Acne is a skin condition that occurs when hair follicles become plugged with oil and dead skin cells, causing whiteheads, blackheads, or pimples.","[VERIFY] Keep face clean; Avoid touching face; Use non-comedogenic products; Stay hydrated","[VERIFY] Acne is severe or widespread; Over-the-counter treatments are not working; Acne is leaving scars; Acne is causing emotional distress",moderate
2,Eczema,"[VERIFY] Eczema (atopic dermatitis) is a condition that causes dry, itchy and inflamed skin. It is common in children but can occur at any age.","[VERIFY] Moisturize regularly; Avoid harsh soaps; Wear soft fabrics; Identify and avoid triggers","[VERIFY] Symptoms interfere with daily activities; Skin becomes infected (increased pain, swelling, pus); Treatment is not working; Symptoms are worsening",moderate
3,Psoriasis,"[VERIFY] Psoriasis is an autoimmune condition that causes skin cells to multiply rapidly, resulting in thick, scaly patches on the skin surface.","[VERIFY] Keep skin moisturized; Avoid skin injuries; Manage stress; Limit alcohol consumption","[VERIFY] Patches are spreading; Joint pain develops; Over-the-counter treatments fail; Skin becomes very painful",moderate
4,Melanoma,"[VERIFY] Melanoma is the most serious type of skin cancer. It develops in the cells (melanocytes) that produce melanin. Early detection is critical.","[VERIFY] Use sunscreen regularly; Avoid tanning beds; Check skin monthly; Wear protective clothing","[VERIFY] A mole changes in size, shape, or color; A new pigmented growth appears; Any skin lesion bleeds or does not heal; Family history of melanoma",severe
5,Rosacea,"[VERIFY] Rosacea is a chronic skin condition that causes redness and visible blood vessels in the face. It may also produce small, red, pus-filled bumps.","[VERIFY] Avoid sun exposure; Use gentle skincare products; Identify and avoid triggers; Avoid spicy foods and alcohol","[VERIFY] Facial redness is persistent; Eyes become irritated; Skin thickens (especially nose); Bumps or pimples develop on face",moderate
6,Dermatitis,"[VERIFY] Contact dermatitis is a red, itchy rash caused by direct contact with a substance or an allergic reaction to it.","[VERIFY] Identify and avoid irritants; Wear protective gloves; Use mild soap; Apply moisturizer regularly","[VERIFY] Rash is so uncomfortable it disrupts sleep or daily routine; Rash is sudden, painful, or widespread; Rash does not improve within weeks; Signs of infection develop",moderate
7,Ringworm,"[VERIFY] Ringworm (tinea) is a common fungal infection that creates a ring-shaped, red, itchy rash on the skin. It is not caused by a worm.","[VERIFY] Keep skin clean and dry; Avoid sharing personal items; Wear loose-fitting clothing; Treat infected pets","[VERIFY] The rash does not improve with over-the-counter antifungal treatment; Rash spreads; Rash is on the scalp; Signs of bacterial infection",mild
8,Vitiligo,"[VERIFY] Vitiligo is a condition in which the skin loses its pigment cells (melanocytes), causing discolored patches in various areas of the body.","[VERIFY] Protect skin from sun; Use sunscreen; Avoid skin trauma; Consider cosmetic camouflage","[VERIFY] Patches are spreading rapidly; Emotional distress from appearance; Want to discuss treatment options; Patches appear on large areas",mild
9,Impetigo,"[VERIFY] Impetigo is a common, highly contagious bacterial skin infection that mainly affects infants and young children, forming red sores and blisters.","[VERIFY] Keep sores clean; Avoid touching or scratching sores; Wash hands frequently; Avoid close contact until healed","[VERIFY] Sores spread despite home treatment; Fever develops; Red or swollen area around sores; Sores do not heal within a week",moderate
10,Urticaria,"[VERIFY] Urticaria (hives) are red, itchy welts that result from a skin reaction. They vary in size and can appear anywhere on the body.","[VERIFY] Identify and avoid triggers; Avoid tight clothing; Use cool compresses; Take antihistamines as directed","[VERIFY] Hives persist for more than six weeks; Difficulty breathing or swallowing occurs; Dizziness or swelling of face/throat; Hives are very painful",moderate
11,Basal Cell Carcinoma,"Basal cell carcinoma is the most common form of skin cancer. It typically appears as a growing pearly bump or a flat red patch on sun-exposed areas and grows slowly.","Protect skin with sunscreen and wide-brim hats; Avoid tanning beds; Perform regular self-skin examinations; See a dermatologist annually.","A persistent open sore does not heal for 4+ weeks; A shiny pearly nodule bleeds easily; A reddish patch with crusted edges appears.",severe
12,Squamous Cell Carcinoma,"Squamous cell carcinoma is a common form of skin cancer that develops in the squamous cells of the outer layer of the skin. It can be aggressive if left untreated.","Use high SPF sunscreen daily; Avoid peak sun hours; Wear UV-protective clothing; Regularly inspect sun-damaged skin areas.","A firm scaly bump grows or bleeds; An ulcerated lesion fails to heal; Rapid growth occurs in a sun-damaged area.",severe
13,Actinic Keratosis,"Actinic keratosis is a rough, scaly patch or bump on the skin that develops from years of sun exposure. It is a pre-cancerous lesion that can transform into squamous cell carcinoma.","Wear broad-spectrum sunscreen daily; Wear protective hats outdoors; Avoid sunbeds; Monitor lesions closely for transformation.","Patches become thickened, painful, indurated, or bleed; Lesions rapidly increase in size; Pre-cancerous transformation concerns arise.",moderate
14,Nevus,"A nevus (mole) is a common, benign growth on the skin that develops when pigment-producing cells (melanocytes) grow in clusters.","Monitor for changes in size, shape, or color; Apply sunscreen; Avoid picking or scratching.","A mole changes in size, shape, or color; It becomes asymmetrical, has irregular borders, or grows larger than 6mm.",mild
