disease_name,common_name,symptoms,body_location,severity_level,is_malignant,precautions,consult_doctor_if
Acne,Acne Vulgaris,"pimples, blackheads, whiteheads, cysts, nodules, oily skin, inflammation","Face, Neck, Chest, Upper Back, Shoulders",moderate,0,"Keep face clean with gentle cleanser; Avoid squeezing or picking lesions; Use non-comedogenic products; Stay hydrated; Manage stress","Severe cystic outbreaks occur; OTC topical treatments fail after 8 weeks; Deep painful nodules form; Scarring or hyperpigmentation develops"
Eczema,Atopic Dermatitis,"intense itching, redness, dry cracked skin, rash, oozing blisters, scaly thickened skin","Elbow creases, Behind knees, Hands, Neck, Face, Wrists",moderate,0,"Moisturize skin twice daily; Avoid harsh soaps and detergents; Wear soft breathable cotton; Avoid known allergy triggers; Keep fingernails short","Skin develops yellow crusting or signs of infection; Severe itching disrupts sleep; Rashes spread rapidly; OTC hydrocortisone gives no relief"
Psoriasis,Plaque Psoriasis,"thick red patches, silvery-white scales, dry cracked skin, itching, burning, nail pitting","Elbows, Knees, Scalp, Lower Back, Palms, Soles",moderate,0,"Apply thick moisturizers; Avoid skin injury and sunburn; Manage stress levels; Limit alcohol consumption; Get controlled sunlight exposure","Psoriasis covers extensive body areas; Joint pain or stiffness develops; Redness spreads rapidly; Plaques crack and bleed frequently"
Melanoma,Malignant Melanoma,"asymmetrical mole, irregular jagged borders, multi-colored lesion, growing dark spot, bleeding or oozing mole","Anywhere on skin, Trunk (men), Legs (women), Back, Arms",severe,1,"Apply broad-spectrum SPF 50+ sunscreen daily; Avoid direct sun and tanning beds; Conduct monthly skin self-checks; Wear protective UV clothing","A mole changes in size, shape, color, or elevation; A new irregularly shaped dark spot appears; Lesion bleeds, oozes, or becomes itchy; Any suspicious ABCD criteria"
Rosacea,Rosacea,"persistent facial redness, visible spider veins, red bumps, pustules, burning sensation, eye irritation","Cheeks, Nose, Forehead, Chin",moderate,0,"Use gentle fragrance-free cleanser; Apply daily mineral sunscreen; Avoid spicy foods, hot beverages, and alcohol; Protect face from wind and cold","Persistent deep facial redness; Small blood vessels become prominently visible; Eye irritation or swollen eyelids occur; Bumps resemble severe acne"
Dermatitis,Contact Dermatitis,"itchy red rash, burning sensation, localized swelling, dry peeling skin, small fluid-filled blisters","Hands, Forearms, Neck, Face, Legs",moderate,0,"Identify and eliminate chemical/plant irritants; Wash skin with mild soap immediately after contact; Apply cool damp compresses; Wear protective gloves","Rash is painful, widespread, or close to eyes; Symptoms do not improve within 2 to 3 weeks; Blisters leak pus indicating secondary infection"
Ringworm,Tinea Corporis,"circular ring-shaped rash, raised red border, itchy skin, scaly central clearing, spreading red patch","Arms, Legs, Trunk, Scalp, Groin, Feet",mild,0,"Keep skin clean and dry; Avoid sharing towels, clothing, or personal items; Wear loose breathable clothing; Wash bedding frequently in hot water","Rash fails to improve after 2 weeks of antifungal treatment; Infection spreads across multiple areas; Rash appears on scalp with hair loss"
Vitiligo,Vitiligo,"smooth milky-white patches, loss of skin pigment, premature graying of hair, depigmented lips or mouth","Face, Hands, Arms, Feet, Lips, Genitals",mild,0,"Apply broad-spectrum sunscreen to prevent burns on pale areas; Protect skin from mechanical trauma; Consider cosmetic camouflage","White patches spread rapidly; Sunburns easily on depigmented spots; Condition causes significant psychological distress"
Impetigo,Impetigo,"red sores that quickly burst, honey-colored crusts, fluid-filled blisters, itching, tender skin around sores","Around mouth and nose, Hands, Forearms, Diaper area",moderate,0,"Wash sores gently with antibacterial soap; Cover sores with loose bandage; Wash hands frequently; Avoid touching or scratching sores","Sores spread rapidly despite treatment; Child develops fever or lethargy; Redness and swelling expand around lesions; Sores fail to heal within a week"
Urticaria,Hives,"raised red or skin-colored welts, intense itching, swelling, blanching when pressed, migrating patches","Any area of the body, Trunk, Limbs, Face",moderate,0,"Avoid known triggers like allergens, heat, tight clothing; Apply cool compresses; Take over-the-counter antihistamines as directed; Avoid hot showers","Hives persist continuously for over 6 weeks; Accompanied by difficulty breathing or throat swelling (Emergency); Dizziness or severe facial swelling develops"
Basal Cell Carcinoma,BCC,"pearly or waxy bump, raised translucent lesion with rolled borders, non-healing sore that bleeds easily, flat scar-like patch","Sun-exposed areas, Face, Ears, Neck, Scalp, Shoulders",severe,1,"Protect sun-exposed skin with sunscreen and wide-brim hats; Avoid tanning beds; Perform regular self-skin examinations; See dermatologist annually","A persistent open sore that does not heal for 4+ weeks; A shiny pearly nodule that bleeds easily; A reddish patch with crusted edges"
Squamous Cell Carcinoma,SCC,"firm red nodule, rough scaly crusty lesion, persistent open sore with raised border, wart-like growth","Face, Ears, Lower Lip, Neck, Hands, Forearms",severe,1,"Use high SPF sunscreen daily; Avoid peak sun hours; Wear UV-protective clothing; Regularly inspect sun-damaged skin areas","A firm scaly bump that grows or bleeds; An ulcerated lesion that fails to heal; Rapid growth in an existing sun-damaged area"
Actinic Keratosis,Solar Keratosis,"rough dry scaly patch, gritty sand-papery texture, pink or red slightly raised lesion, burning or stinging","Face, Scalp, Ears, Back of hands, Forearms",moderate,0,"Wear broad-spectrum sunscreen daily; Wear protective hats outdoors; Avoid sunbeds; Monitor lesions closely for transformation","Patches become thickened, painful, indurated, or bleed; Lesions rapidly increase in size; Pre-cancerous transformation concerns"
Benign Keratosis,Seborrheic Keratosis,"waxy stuck-on appearance, tan brown or black raised lesion, well-demarcated round border, slightly scaly surface","Trunk, Back, Shoulders, Chest, Face, Neck",mild,0,"Avoid picking, scratching, or rubbing growths; Keep area clean; Moisturize surrounding skin; Protect from friction from clothing","Lesion rapidly changes color or turns pitch black; Itches severely, becomes inflamed or bleeds; Differentiation from melanoma is required"
