image_path,source,category,body_location,symptoms_description,malignant,split,severity_flag
dataset/train/Actinic Keratosis/ISIC_0058324.jpg,ISIC_HAM10000,Pre-cancerous Lesion,"Face, Scalp, Ears, Forearms, Hands","Rough, scaly, gritty erythematous patch, sandpapery texture on chronically sun-exposed skin.",0,train,Pre-cancerous
dataset/train/Actinic Keratosis/ISIC_0067246.jpg,ISIC_HAM10000,Pre-cancerous Lesion,"Face, Scalp, Ears, Forearms, Hands","Rough, scaly, gritty erythematous patch, sandpapery texture on chronically sun-exposed skin.",0,train,Pre-cancerous
dataset/train/Actinic Keratosis/ISIC_0070713.jpg,ISIC_HAM10000,Pre-cancerous Lesion,"Face, Scalp, Ears, Forearms, Hands","Rough, scaly, gritty erythematous patch, sandpapery texture on chronically sun-exposed skin.",0,train,Pre-cancerous
dataset/train/Actinic Keratosis/ISIC_0055452.jpg,ISIC_HAM10000,Pre-cancerous Lesion,"Face, Scalp, Ears, Forearms, Hands","Rough, scaly, gritty erythematous patch, sandpapery texture on chronically sun-exposed skin.",0,train,Pre-cancerous
dataset/train/Actinic Keratosis/ISIC_0069614.jpg,ISIC_HAM10000,Pre-cancerous Lesion,"Face, Scalp, Ears, Forearms, Hands","Rough, scaly, gritty erythematous patch, sandpapery texture on chronically sun-exposed skin.",0,train,Pre-cancerous
dataset/train/Actinic Keratosis/ISIC_0061691.jpg,ISIC_HAM10000,Pre-cancerous Lesion,"Face, Scalp, Ears, Forearms, Hands","Rough, scaly, gritty erythematous patch, sandpapery texture on chronically sun-exposed skin.",0,train,Pre-cancerous
dataset/train/Actinic Keratosis/ISIC_0069289.jpg,ISIC_HAM10000,Pre-cancerous Lesion,"Face, Scalp, Ears, Forearms, Hands","Rough, scaly, gritty erythematous patch, sandpapery texture on chronically sun-exposed skin.",0,train,Pre-cancerous
dataset/train/Actinic Keratosis/ISIC_0068370.jpg,ISIC_HAM10000,Pre-cancerous Lesion,"Face, Scalp, Ears, Forearms, Hands","Rough, scaly, gritty erythematous patch, sandpapery texture on chronically sun-exposed skin.",0,train,Pre-cancerous
dataset/train/Actinic Keratosis/ISIC_0053679.jpg,ISIC_HAM10000,Pre-cancerous Lesion,"Face, Scalp, Ears, Forearms, Hands","Rough, scaly, gritty erythematous patch, sandpapery texture on chronically sun-exposed skin.",0,train,Pre-cancerous
dataset/train/Actinic Keratosis/ISIC_0057351.jpg,ISIC_HAM10000,Pre-cancerous Lesion,"Face, Scalp, Ears, Forearms, Hands","Rough, scaly, gritty erythematous patch, sandpapery texture on chronically sun-exposed skin.",0,train,Pre-cancerous
dataset/train/Actinic Keratosis/ISIC_0060230.jpg,ISIC_HAM10000,Pre-cancerous Lesion,"Face, Scalp, Ears, Forearms, Hands","Rough, scaly, gritty erythematous patch, sandpapery texture on chronically sun-exposed skin.",0,train,Pre-cancerous
dataset/train/Actinic Keratosis/ISIC_0067592.jpg,ISIC_HAM10000,Pre-cancerous Lesion,"Face, Scalp, Ears, Forearms, Hands","Rough, scaly, gritty erythematous patch, sandpapery texture on chronically sun-exposed skin.",0,train,Pre-cancerous
dataset/train/Actinic Keratosis/ISIC_0058273.jpg,ISIC_HAM10000,Pre-cancerous Lesion,"Face, Scalp, Ears, Forearms, Hands","Rough, scaly, gritty erythematous patch, sandpapery texture on chronically sun-exposed skin.",0,train,Pre-cancerous
dataset/train/Actinic Keratosis/ISIC_0058460.jpg,ISIC_HAM10000,Pre-cancerous Lesion,"Face, Scalp, Ears, Forearms, Hands","Rough, scaly, gritty erythematous patch, sandpapery texture on chronically sun-exposed skin.",0,train,Pre-cancerous
dataset/train/Actinic Keratosis/ISIC_0068507.jpg,ISIC_HAM10000,Pre-cancerous Lesion,"Face, Scalp, Ears, Forearms, Hands","Rough, scaly, gritty erythematous patch, sandpapery texture on chronically sun-exposed skin.",0,train,Pre-cancerous
dataset/train/Actinic Keratosis/ISIC_0055259.jpg,ISIC_HAM10000,Pre-cancerous Lesion,"Face, Scalp, Ears, Forearms, Hands","Rough, scaly, gritty erythematous patch, sandpapery texture on chronically sun-exposed skin.",0,train,Pre-cancerous
dataset/train/Actinic Keratosis/ISIC_0054805.jpg,ISIC_HAM10000,Pre-cancerous Lesion,"Face, Scalp, Ears, Forearms, Hands","Rough, scaly, gritty erythematous patch, sandpapery texture on chronically sun-exposed skin.",0,train,Pre-cancerous
dataset/train/Actinic Keratosis/ISIC_0068325.jpg,ISIC_HAM10000,Pre-cancerous Lesion,"Face, Scalp, Ears, Forearms, Hands","Rough, scaly, gritty erythematous patch, sandpapery texture on chronically sun-exposed skin.",0,train,Pre-cancerous
dataset/train/Actinic Keratosis/ISIC_0064789.jpg,ISIC_HAM10000,Pre-cancerous Lesion,"Face, Scalp, Ears, Forearms, Hands","Rough, scaly, gritty erythematous patch, sandpapery texture on chronically sun-exposed skin.",0,train,Pre-cancerous
dataset/train/Actinic Keratosis/ISIC_0053799.jpg,ISIC_HAM10000,Pre-cancerous Lesion,"Face, Scalp, Ears, Forearms, Hands","Rough, scaly, gritty erythematous patch, sandpapery texture on chronically sun-exposed skin.",0,train,Pre-cancerous
dataset/train/Actinic Keratosis/ISIC_0054921.jpg,ISIC_HAM10000,Pre-cancerous Lesion,"Face, Scalp, Ears, Forearms, Hands","Rough, scaly, gritty erythematous patch, sandpapery texture on chronically sun-exposed skin.",0,train,Pre-cancerous
dataset/train/Actinic Keratosis/ISIC_0071535.jpg,ISIC_HAM10000,Pre-cancerous Lesion,"Face, Scalp, Ears, Forearms, Hands","Rough, scaly, gritty erythematous patch, sandpapery texture on chronically sun-exposed skin.",0,train,Pre-cancerous
dataset/train/Actinic Keratosis/ISIC_0054081.jpg,ISIC_HAM10000,Pre-cancerous Lesion,"Face, Scalp, Ears, Forearms, Hands","Rough, scaly, gritty erythematous patch, sandpapery texture on chronically sun-exposed skin.",0,train,Pre-cancerous
dataset/train/Actinic Keratosis/ISIC_0056128.jpg,ISIC_HAM10000,Pre-cancerous Lesion,"Face, Scalp, Ears, Forearms, Hands","Rough, scaly, gritty erythematous patch, sandpapery texture on chronically sun-exposed skin.",0,train,Pre-cancerous
